game_id,id_play,drive_play_number,game_play_number,pos_team,pos_team_score,def_pos_team,def_pos_team_score,period,clock.minutes,clock.seconds,yards_to_goal,down,distance,yards_gained,scoring,play_type,play_text,ppa
401678896,401678896104919501,31,4,Abilene Christian,25,Stephen F. Austin,32,4,8,4,68,4,8,0,FALSE,Punt,Grant Nickel punt for 42 yds,
401678896,401678896104914704,31,3,Abilene Christian,25,Stephen F. Austin,32,4,8,52,68,3,8,0,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Blayne Taylor, broken up by Azariah Levells",-0.3045902576
401678896,401678896104914703,31,2,Abilene Christian,25,Stephen F. Austin,32,4,8,52,68,2,8,0,FALSE,Pass Incompletion,pass incomplete to Javon Gipson,-0.6166151307
401678896,401678896104914702,31,1,Abilene Christian,25,Stephen F. Austin,32,4,8,52,70,1,10,2,FALSE,Rush,Sam Hicks run for 2 yds to the ACU 32,-0.5478281133
401678896,401678896104904603,30,1,Abilene Christian,25,Stephen F. Austin,32,4,9,53,65,1,10,0,FALSE,Kickoff,Kyler Meschi kickoff for 65 yds,
401678896,401678896104904601,29,6,Abilene Christian,19,Stephen F. Austin,32,4,9,53,18,1,10,18,TRUE,Passing Touchdown,Blayne Taylor 18 Yd pass from Carson Haggard (Two-Point Pass Conversion Failed),2.591792709
401678896,401678896104878506,29,5,Abilene Christian,13,Stephen F. Austin,32,4,12,14,30,1,10,12,FALSE,Pass Reception,Carson Haggard pass complete to J.J. Henry for 12 yds to the SFA 18 for a 1ST down,0.2224504239
401678896,401678896104878505,29,4,Abilene Christian,13,Stephen F. Austin,32,4,12,14,44,3,5,14,FALSE,Pass Reception,Carson Haggard pass complete to Trey Cleveland for 14 yds to the SFA 30 for a 1ST down,1.969372802
401678896,401678896104878504,29,3,Abilene Christian,13,Stephen F. Austin,32,4,12,14,44,2,5,0,FALSE,Pass Incompletion,pass incomplete to Blayne Taylor,-1.121656036
401678896,401678896104878503,29,2,Abilene Christian,13,Stephen F. Austin,32,4,12,14,49,1,10,5,FALSE,Pass Reception,Carson Haggard pass complete to J.J. Henry for 5 yds to the SFA 44,0.1003706527
401678896,401678896104878502,29,1,Abilene Christian,13,Stephen F. Austin,32,4,12,14,63,1,10,14,FALSE,Pass Reception,Carson Haggard pass complete to Nehemiah Martinez I for 14 yds to the SFA 49 for a 1ST down,1.288180242
401678896,401678896104904602,29,7,Abilene Christian,25,Stephen F. Austin,32,4,9,53,3,1,10,-62,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Trey Cleveland, broken up by Kameron Reddic",
401678896,401678896104855801,27,7,Abilene Christian,13,Stephen F. Austin,32,4,14,41,71,4,12,13,FALSE,Punt,"Grant Nickel punt for 45 yds , Kylon Harris returns for 13 yds to the SFA 39",
401678896,401678896104849903,27,6,Abilene Christian,13,Stephen F. Austin,32,4,15,0,66,4,7,-5,FALSE,Penalty,"Abilene Christian Penalty, delay of game (Grant Nickel) to the ACU 29",
401678896,401678896104849902,27,5,Abilene Christian,13,Stephen F. Austin,32,4,15,0,66,3,7,0,FALSE,Pass Incompletion,"Carson Haggard pass incomplete to Blayne Taylor, broken up by Azariah Levells",-0.3792727597
401678896,401678896103989603,27,3,Abilene Christian,13,Stephen F. Austin,32,3,1,3,69,2,4,3,FALSE,Rush,Sam Hicks run for 3 yds to the ACU 34,-0.356408663
401678896,401678896103989602,27,2,Abilene Christian,13,Stephen F. Austin,32,3,1,3,75,1,10,6,FALSE,Pass Reception,Carson Haggard pass complete to Nehemiah Martinez I for 6 yds to the ACU 31,0.3333748011
401678896,401678896103849902,27,1,Abilene Christian,13,Stephen F. Austin,32,3,15,0,66,3,1,0,FALSE,Pass Incompletion,pass incomplete to Blayne Taylor,-0.7006464562
